user_id,id,price,beds,livings,wc,area,street_width,age,street_direction,ketchen,furnished,district,width,length,advertiser_type,city_side,district_en,time_on_market,time_since_update,last_update_year,last_update_month,last_update_day,last_update_hour,create_time_year,create_time_month,create_time_day,create_time_hour,latitude,longitude,squareness,regular_shapeness
979902,3963975,850000,3,1,3,129,25,16,5,1,0,حي التعاون,,,owner,north,Al Taawun Dist.,210,19,2022,8,4,8,2022,1,25,9,24.769389,46.692754,,
1452269,4430695,1400000,3,2,3,142,30,1,2,1,0,حي الياسمين,12.0,11.0,owner,north,Al Yasmin Dist.,68,15,2022,8,8,20,2022,6,16,12,24.831512,46.626747,0.9166666666666666,1.0757575757575757
1153553,4420689,1200000,3,2,3,166,30,1,2,1,0,حي القيروان,,,owner,north,Al Qirawan Dist.,71,26,2022,7,27,22,2022,6,13,20,24.840019,46.602932,,
1900580,3483081,575000,3,3,4,170,30,0,3,0,0,حي طويق,,,,north,Tuwik Dist.,365,11,2022,8,11,21,2021,8,23,13,24.544945,46.521763,,
1963666,4391509,890000,2,1,2,124,36,0,3,1,0,حي الندى,10.0,12.0,owner,north,An Nada Dist.,78,22,2022,8,1,6,2022,6,6,5,24.808149,46.683521,0.8333333333333334,1.0333333333333334
1820464,3595328,1150000,3,1,3,164,30,0,1,0,1,حي الملقا,,,agent,north,Al Malqa Dist.,322,11,2022,8,12,12,2021,10,5,14,24.795708,46.613617,,
503865,4438114,1300000,4,1,3,220,36,0,1,1,0,حي القيروان,12.0,18.0,owner,north,Al Qirawan Dist.,66,11,2022,8,11,22,2022,6,18,14,24.830544,46.597759,0.6666666666666666,1.0185185185185186
1245723,4190651,970000,4,1,3,182,20,0,3,0,0,حي العارض,,,exclusive_marketer,north,Al Arid Dist.,146,11,2022,8,12,15,2022,3,30,17,24.867407,46.638203,,
1230301,4443656,1199000,3,1,4,145,30,0,5,0,0,حي الياسمين,10.0,14.0,owner,north,Al Yasmin Dist.,65,14,2022,8,9,19,2022,6,19,19,24.823324,46.628773,0.7142857142857143,1.0357142857142858
1245723,4190548,920000,4,1,3,200,30,0,4,0,0,حي العارض,,,exclusive_marketer,north,Al Arid Dist.,146,11,2022,8,12,15,2022,3,30,16,24.868078,46.639641,,
1245723,4359292,830000,4,1,3,137,30,0,3,0,0,حي العارض,,,exclusive_marketer,north,Al Arid Dist.,87,11,2022,8,12,15,2022,5,28,4,24.859001,46.643715,,
617746,3900139,1000000,5,1,2,132,18,9,6,1,1,حي الملقا,12.0,11.0,agent,north,Al Malqa Dist.,227,17,2022,8,6,6,2022,1,8,7,24.79994,46.621517,0.9166666666666666,1.0
706508,4300375,1170000,3,2,3,176,36,0,8,1,0,حي النرجس,13.0,14.0,owner,north,An Narjis Dist.,104,12,2022,8,11,10,2022,5,11,16,24.846133,46.678657,0.9285714285714286,0.967032967032967
736278,4075233,1300000,3,1,3,129,36,0,1,0,0,حي الملقا,,,owner,north,Al Malqa Dist.,178,19,2022,8,4,16,2022,2,25,23,24.778543,46.572223,,
399503,4583365,950000,4,1,3,199,,1,9,0,0,حي العارض,1.0,199.0,owner,north,Al Arid Dist.,21,20,2022,8,3,19,2022,8,1,22,24.87319,46.622372,0.005025125628140704,1.0
1664188,4369844,1149000,4,1,3,163,30,0,2,1,0,حي الياسمين,,,owner,north,Al Yasmin Dist.,84,65,2022,6,19,12,2022,5,31,0,24.832374,46.646202,,
1163353,3766687,980000,3,2,3,135,36,0,4,0,0,حي النرجس,,,exclusive_marketer,north,An Narjis Dist.,265,45,2022,7,9,1,2021,12,1,18,24.853434,46.655701,,
1182477,4390778,1600000,3,1,3,130,32,0,4,1,0,حي الربيع,8.0,16.0,owner,north,Al Rabie Dist.,78,29,2022,7,24,21,2022,6,5,22,24.796211,46.66156,0.5,1.015625
708917,4321372,1050000,3,1,3,172,30,0,4,1,0,حي القيروان,1.0,172.0,owner,north,Al Qirawan Dist.,98,12,2022,8,11,8,2022,5,17,13,24.82996,46.586914,0.005813953488372093,1.0
737952,3524161,1200000,3,1,3,148,36,0,4,1,0,حي الياسمين,,,owner,north,Al Yasmin Dist.,350,21,2022,8,1,21,2021,9,6,23,24.824146,46.629616,,
1230301,4450332,929000,3,1,3,154,30,0,4,0,0,حي الياسمين,15.0,10.0,owner,north,Al Yasmin Dist.,63,14,2022,8,9,18,2022,6,21,14,24.832472,46.648808,0.6666666666666666,1.0266666666666666
1182477,4127891,1200000,3,1,3,146,36,0,4,1,0,حي النرجس,10.0,14.0,owner,north,An Narjis Dist.,163,29,2022,7,24,21,2022,3,12,22,24.851566,46.651974,0.7142857142857143,1.042857142857143
1839935,4352329,1300000,2,2,4,160,25,4,4,1,1,حي العارض,160.0,1.0,owner,north,Al Arid Dist.,90,12,2022,8,11,0,2022,5,25,20,24.830683,46.620625,0.00625,1.0
769983,3331722,1950000,2,2,2,90,15,,5,1,1,حي الصحافة,20.0,4.0,exclusive_marketer,north,As Sahafah Dist.,422,19,2022,8,4,14,2021,6,27,0,24.792883,46.632427,0.2,1.125
2303191,4378384,1100000,4,1,3,155,30,0,4,1,0,حي النرجس,15.0,10.0,owner,north,An Narjis Dist.,82,18,2022,8,5,3,2022,6,2,12,24.853312,46.655399,0.6666666666666666,1.0333333333333334
1610128,4077695,1000000,3,1,3,130,30,10,4,1,0,حي حطين,13.0,10.0,exclusive_marketer,north,Hiteen Dist.,178,15,2022,8,8,13,2022,2,26,19,24.770472,46.6115,0.7692307692307693,1.0
